text,lang,sentiment,role,conv_id,industry,split,intent
"Já cancelei antes e continuam me cobrando, que absurdo",pt,negative,customer,demo_0059,e-commerce,demo,cancelacion
Tienen tienda física en Buenos Aires?,es,neutral,customer,demo_0009,e-commerce,demo,consulta_general
"Necesito cancelar la suscripción, no me interesa seguir",es,negative,customer,demo_0001,e-commerce,demo,cancelacion
Preciso de ajuda com o cadastro no site,pt,negative,customer,demo_0065,e-commerce,demo,consulta_general
Onde está meu pedido? O rastreio não atualiza,pt,negative,customer,demo_0102,e-commerce,demo,seguimiento
En qué fecha me debitan el próximo pago?,es,neutral,customer,demo_0015,e-commerce,demo,facturacion_pago
Como faço para trocar um produto?,pt,neutral,customer,demo_0062,e-commerce,demo,consulta_general
Meu cartão foi recusado mas tenho limite disponível,pt,negative,customer,demo_0067,e-commerce,demo,facturacion_pago
"Mudei de endereço e já fiz o pedido, como altero?",pt,negative,customer,demo_0085,e-commerce,demo,modificacion_pedido
Cómo elimino mi cuenta definitivamente?,es,neutral,customer,demo_0026,e-commerce,demo,gestion_cuenta
Quero trocar o tamanho do produto que comprei,pt,neutral,customer,demo_0084,e-commerce,demo,modificacion_pedido
Conseguem verificar o andamento da minha entrega?,pt,neutral,customer,demo_0107,e-commerce,demo,seguimiento
"Necesito cambiar la talla de mi pedido, pedí M pero necesito L",es,neutral,customer,demo_0030,e-commerce,demo,modificacion_pedido
"Cambié de dirección y ya hice el pedido, puedo modificar?",es,negative,customer,demo_0032,e-commerce,demo,modificacion_pedido
Quando vence a próxima fatura?,pt,neutral,customer,demo_0068,e-commerce,demo,facturacion_pago
Ya pedí el reembolso hace 10 días y no me han pagado,es,negative,customer,demo_0044,e-commerce,demo,reembolso
Qual o prazo de entrega para São Paulo?,pt,neutral,customer,demo_0060,e-commerce,demo,consulta_general
"Consegui atualizar meus dados, obrigado",pt,positive,customer,demo_0082,e-commerce,demo,gestion_cuenta
Como excluir minha conta permanentemente?,pt,neutral,customer,demo_0080,e-commerce,demo,gestion_cuenta
Cuándo llega mi pedido? Necesito saber el estado,es,neutral,customer,demo_0050,e-commerce,demo,seguimiento
"Me devolvieron menos plata de lo que pagué, está mal calculado",es,negative,customer,demo_0047,e-commerce,demo,reembolso
Tem cupom de desconto para primeira compra?,pt,positive,customer,demo_0063,e-commerce,demo,consulta_general
"Recebi o reembolso na conta, obrigado pela agilidade",pt,positive,customer,demo_0070,e-commerce,demo,facturacion_pago
"Quiero que me devuelvan el dinero, el producto no funciona",es,negative,customer,demo_0042,e-commerce,demo,reembolso
"A entrega foi antes do prazo, muito satisfeito",pt,positive,customer,demo_0074,e-commerce,demo,feedback
Quero alterar meu endereço de entrega padrão,pt,neutral,customer,demo_0079,e-commerce,demo,gestion_cuenta
Vocês vendem para todo o Brasil?,pt,neutral,customer,demo_0061,e-commerce,demo,consulta_general
Cómo puedo cambiar mi dirección de entrega?,es,neutral,customer,demo_0008,e-commerce,demo,consulta_general
"Pésima atención al cliente, nadie responde los mensajes",es,negative,customer,demo_0021,e-commerce,demo,feedback
"Llevo una semana esperando y el pedido no llega, pésimo servicio",es,negative,customer,demo_0037,e-commerce,demo,queja
"Fui cobrado duas vezes na mesma fatura, quero estorno",pt,negative,customer,demo_0066,e-commerce,demo,facturacion_pago
Se puede modificar el color del producto después de comprar?,es,neutral,customer,demo_0033,e-commerce,demo,modificacion_pedido
Me pueden dar más información sobre el producto,es,neutral,customer,demo_0010,e-commerce,demo,consulta_general
Pode cancelar meu pedido #56789? Obrigado,pt,neutral,customer,demo_0056,e-commerce,demo,cancelacion
Preciso cancelar a assinatura mensal,pt,negative,customer,demo_0055,e-commerce,demo,cancelacion
Prazo para cair o reembolso no cartão de crédito?,pt,neutral,customer,demo_0100,e-commerce,demo,reembolso
El tracking muestra entregado pero no recibí nada,es,negative,customer,demo_0052,e-commerce,demo,seguimiento
Cuál es el horario de atención al cliente?,es,neutral,customer,demo_0006,e-commerce,demo,consulta_general
Ya van tres reclamos y nadie me da solución,es,negative,customer,demo_0041,e-commerce,demo,queja
"Cancelamento de conta, por favor",pt,neutral,customer,demo_0058,e-commerce,demo,cancelacion
Me podrían dar el número de seguimiento de mi envío?,es,neutral,customer,demo_0049,e-commerce,demo,seguimiento
Rastreio mostra entregue mas não recebi nada,pt,negative,customer,demo_0106,e-commerce,demo,seguimiento
Esqueci minha senha e não consigo recuperar,pt,negative,customer,demo_0078,e-commerce,demo,gestion_cuenta
Estou há 15 dias esperando e nada do pedido chegar,pt,negative,customer,demo_0091,e-commerce,demo,queja
Como solicitar o reembolso de um pedido cancelado?,pt,neutral,customer,demo_0097,e-commerce,demo,reembolso
"El producto llegó roto y en mal estado, una vergüenza",es,negative,customer,demo_0036,e-commerce,demo,queja
